Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Clearance Code desc
B16-51336,12/30/2016,23:47:07,December,Friday,ALCOHOL RELATED,2302 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-50664,12/23/2016,20:40:26,December,Friday,ALCOHOL RELATED,2400 S WALNUT ST; TACO BELL SOUTH,LB422,BPD,NO REPORT NEEDED
B16-50016,12/17/2016,15:21:56,December,Saturday,ALCOHOL RELATED,1255 S COLLEGE MALL RD; BIG RED LIQUORS S COLLEGE MALL,LB310,BPD,NO REPORT NEEDED
B16-48489,12/5/2016,17:18:28,December,Monday,ALCOHOL RELATED,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-44488,11/4/2016,14:51:34,November,Friday,ALCOHOL RELATED,705 W COOLIDGE DR; BROADVIEW LEARNING CENTER,LB423,BPD,REPORT NEEDED
B16-43354,10/28/2016,17:59:38,October,Friday,ALCOHOL RELATED,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-43168,10/27/2016,16:54:46,October,Thursday,ALCOHOL RELATED,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-42905,10/25/2016,21:29:08,October,Tuesday,ALCOHOL RELATED,1421 N WILLIS DR; CLASSIC BOWLING LANES,LB513,BPD,NO REPORT NEEDED
B16-42495,10/22/2016,23:13:53,October,Saturday,ALCOHOL RELATED,1400 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-41547,10/16/2016,7:24:38,October,Sunday,ALCOHOL RELATED,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-40989,10/12/2016,20:37:04,October,Wednesday,ALCOHOL RELATED,1800 N WALNUT ST; ROOM 105 MOTEL 6,LB212,BPD,NO REPORT NEEDED
B16-40679,10/10/2016,17:11:58,October,Monday,ALCOHOL RELATED,S ROGERS ST & W 4TH ST,LB408,BPD,NO REPORT NEEDED
B16-40351,10/8/2016,1:49:16,October,Saturday,ALCOHOL RELATED,N WALNUT ST & W 8TH ST,LB102,BPD,NO REPORT NEEDED
B16-39743,10/4/2016,14:47:12,October,Tuesday,ALCOHOL RELATED,1201 S MADISON ST,LB412,BPD,NO REPORT NEEDED
B16-51408,12/31/2016,22:38:16,December,Saturday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,NO REPORT NEEDED
B16-51404,12/31/2016,20:42:21,December,Saturday,DISTURBANCE IP,916 N LINDBERGH DR,LB517,BPD,REPORT NEEDED
B16-51344,12/31/2016,3:28:52,December,Saturday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,NO REPORT NEEDED
B16-51331,12/30/2016,22:54:27,December,Friday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,NO REPORT NEEDED
B16-51304,12/30/2016,18:18:14,December,Friday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,NO REPORT NEEDED
B16-51290,12/30/2016,16:32:20,December,Friday,DISTURBANCE IP,117 E 19TH ST,LB212,BPD,NO REPORT NEEDED
B16-51287,12/30/2016,16:19:26,December,Friday,DISTURBANCE IP,3700 W 3RD ST; KFC WEST,LB524,BPD,NO REPORT NEEDED
B16-51263,12/30/2016,13:55:06,December,Friday,DISTURBANCE IP,1710 N KINSER PIKE; HOLIDAY INN BLOOMINGTON,LB512,BPD,NO REPORT NEEDED
B16-51203,12/29/2016,21:05:43,December,Thursday,DISTURBANCE IP,3980 S SARE RD; JACKSON CREEK MIDDLE SCHOOL,LB334,BPD,NO REPORT NEEDED
B16-51174,12/29/2016,16:25:31,December,Thursday,DISTURBANCE IP,310 N JOHNSON AVE; VALHALLA MEMORY GARDENS,LB522,BPD,NO REPORT NEEDED
B16-51125,12/29/2016,1:14:37,December,Thursday,DISTURBANCE IP,1223 W 7TH ST,LB521,BPD,NO REPORT NEEDED
B16-51111,12/28/2016,21:56:46,December,Wednesday,DISTURBANCE IP,114 S INDIANA AVE; TIBET SHOP; BUFFALOUIES; STE A,LB104,BPD,REPORT NEEDED
B16-51106,12/28/2016,21:35:34,December,Wednesday,DISTURBANCE IP,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,NO REPORT NEEDED
B16-51089,12/28/2016,17:28:33,December,Wednesday,DISTURBANCE IP,2812 W HEARTWOOD CT; APT C,LB415,BPD,NO REPORT NEEDED
B16-51044,12/28/2016,11:42:58,December,Wednesday,DISTURBANCE IP,523 W AMARYLLIS DR,LB513,BPD,NO REPORT NEEDED
B16-51015,12/28/2016,0:26:33,December,Wednesday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT NEEDED
B16-51009,12/27/2016,23:29:53,December,Tuesday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT NEEDED
B16-51008,12/27/2016,23:28:50,December,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B104,LB336,BPD,NO REPORT NEEDED
B16-50997,12/27/2016,21:43:20,December,Tuesday,DISTURBANCE IP,2434 S ROCKPORT RD,LB423,BPD,REPORT NEEDED
B16-50964,12/27/2016,15:13:30,December,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT NEEDED
B16-50963,12/27/2016,14:45:29,December,Tuesday,DISTURBANCE IP,2300 S BRANDON CT; BRANDON COURT,LB326,BPD,NO REPORT NEEDED
B16-50960,12/27/2016,14:36:33,December,Tuesday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,NO REPORT NEEDED
B16-50879,12/26/2016,16:52:38,December,Monday,DISTURBANCE IP,923 N MONROE ST,LB517,BPD,REPORT NEEDED
B16-50824,12/25/2016,22:31:21,December,Sunday,DISTURBANCE IP,219 E 4TH ST; FIRST UNITED METHODIST CHURCH,LB104,BPD,NO REPORT NEEDED
B16-50800,12/25/2016,17:29:01,December,Sunday,DISTURBANCE IP,1420 N ARLINGTON PARK DR; APT 403,LB514,BPD,NO REPORT NEEDED
B16-50786,12/25/2016,14:14:27,December,Sunday,DISTURBANCE IP,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,NO REPORT NEEDED
B16-50745,12/24/2016,19:14:17,December,Saturday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; ROOM 146,LB212,BPD,NO REPORT NEEDED
B16-50704,12/24/2016,10:33:07,December,Saturday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-50690,12/24/2016,2:17:42,December,Saturday,DISTURBANCE IP,217 W 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-50657,12/23/2016,19:35:19,December,Friday,DISTURBANCE IP,2966 E 3RD ST; TARGET,LB305,BPD,NO REPORT NEEDED
B16-50650,12/23/2016,18:22:41,December,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; BLDG B,LB336,BPD,NO REPORT NEEDED
B16-50622,12/23/2016,14:27:26,December,Friday,DISTURBANCE IP,S WALNUT STREET PIKE & E WINSLOW RD,LB328,BPD,NO REPORT NEEDED
B16-50593,12/23/2016,7:11:30,December,Friday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-50570,12/22/2016,22:40:00,December,Thursday,DISTURBANCE IP,211 N WALNUT ST  STE 1; BTOWN DINER,LB101,BPD,NO REPORT NEEDED
B16-50545,12/22/2016,17:30:33,December,Thursday,DISTURBANCE IP,750 S WALKER ST,LB409,BPD,NO REPORT NEEDED
B16-50543,12/22/2016,17:11:09,December,Thursday,DISTURBANCE IP,2506 W 3RD ST; CASHLAND,LB523,BPD,NO REPORT NEEDED
B16-50483,12/22/2016,8:32:28,December,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 137B,LB336,BPD,NO REPORT NEEDED
B16-50478,12/22/2016,3:16:27,December,Thursday,DISTURBANCE IP,108 E KIRKWOOD AVE; FARMBLOOMINGTON,LB104,BPD,NO REPORT NEEDED
B16-50477,12/22/2016,3:05:14,December,Thursday,DISTURBANCE IP,1730 S WALNUT ST; NIGHT MOVES,LB421,BPD,NO REPORT NEEDED
B16-50456,12/21/2016,22:43:22,December,Wednesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT NEEDED
B16-50453,12/21/2016,22:05:37,December,Wednesday,DISTURBANCE IP,3068 E 3RD ST; MACYS,LB305,BPD,NO REPORT NEEDED
B16-50449,12/21/2016,21:22:07,December,Wednesday,DISTURBANCE IP,111 S GRANT ST; TRINITY EPISCOPAL; TRINITY CHURCH,LB104,BPD,NO REPORT NEEDED
B16-50434,12/21/2016,18:32:07,December,Wednesday,DISTURBANCE IP,823 N MAPLE ST,LB518,BPD,NO REPORT NEEDED
B16-50433,12/21/2016,18:26:10,December,Wednesday,DISTURBANCE IP,N DUNN ST & E 17TH ST,LIU07,BPD,NO REPORT NEEDED
B16-50407,12/21/2016,15:28:01,December,Wednesday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,REPORT NEEDED
B16-50353,12/21/2016,1:54:57,December,Wednesday,DISTURBANCE IP,2339 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-50344,12/20/2016,23:41:37,December,Tuesday,DISTURBANCE IP,1919 N COLLEGE AVE; STEAK N SHAKE NORTH,LB512,BPD,NO REPORT NEEDED
B16-50341,12/20/2016,21:57:34,December,Tuesday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
