Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-12124,4/1/16,8:18 AM,April,Friday,DISTURBANCE IP,1150 S CLARIZZ BLVD; D 113,LB310,BPD,NO REPORT NEEDED
B16-12103,4/1/16,3:02 AM,April,Friday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN; ROOM 231,LB212,BPD,NO REPORT NEEDED
B16-12167,4/1/16,2:28 PM,April,Friday,DISTURBANCE IP,2347 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-12242,4/1/16,11:23 PM,April,Friday,DISTURBANCE IP,2440 S HENDERSON ST; APT 202,LB327,BPD,NO REPORT NEEDED
B16-12173,4/1/16,3:10 PM,April,Friday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-12097,4/1/16,2:12 AM,April,Friday,DISTURBANCE IP,N WASHINGTON ST & E 8TH ST,LB102,BPD,REPORT NEEDED
B16-12207,4/1/16,6:40 PM,April,Friday,DISTURBANCE NP,106 W 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-12212,4/1/16,7:17 PM,April,Friday,DISTURBANCE NP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-12227,4/1/16,9:37 PM,April,Friday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-12224,4/1/16,9:01 PM,April,Friday,DRUNK,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,NO REPORT NEEDED
B16-12199,4/1/16,5:37 PM,April,Friday,DRUNK,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-12228,4/1/16,9:30 PM,April,Friday,DRUNK,514 E KIRKWOOD AVE; FINCHS BRASSERIE,LB104,BPD,NO REPORT NEEDED
B16-12246,4/1/16,11:38 PM,April,Friday,DRUNK,532 N MORTON ST; the mansions,LB101,BPD,NO REPORT NEEDED
B16-12157,4/1/16,1:23 PM,April,Friday,DRUNK,S AUTO MALL RD & E COVENANTER DR,LB310,BPD,NO REPORT NEEDED
B16-12092,4/1/16,1:14 AM,April,Friday,NOISE,2036 N WALNUT ST; apt 31a,LB212,BPD,NO REPORT NEEDED
B16-12100,4/1/16,2:38 AM,April,Friday,NOISE,3811 E MCCRACKEN WAY,LB220,BPD,NO REPORT NEEDED
B16-12116,4/1/16,6:08 AM,April,Friday,NOISE,504 S MULLER PKWY;APT 432,LB404,BPD,NO REPORT NEEDED
B16-12085,4/1/16,12:21 AM,April,Friday,NOISE,518 N LINCOLN ST,LB102,BPD,NO REPORT NEEDED
B16-12223,4/1/16,7:31 PM,April,Friday,NOISE,520 W HOOSIER COURT AVE,LB513,BPD,NO REPORT NEEDED
B16-12089,4/1/16,1:01 AM,April,Friday,NOISE,726 E UNIVERSITY ST,LB302,BPD,NO REPORT NEEDED
B16-12102,4/1/16,2:49 AM,April,Friday,NOISE,750 S WALKER ST,LB409,BPD,NO REPORT NEEDED
B16-12225,4/1/16,9:29 PM,April,Friday,PANHANDLING,100 E KIRKWOOD AVE; TROJAN HORSE,LB104,BPD,NO REPORT NEEDED
B16-12160,4/1/16,1:41 PM,April,Friday,VANDALISM IP,2636 E 3RD ST; JIMMY JOHNS GOURMET SANDWICHES EAST,LB304,BPD,NO REPORT NEEDED
B16-12098,4/1/16,2:20 AM,April,Friday,VANDALISM IP,426 E 10TH ST,LB102,BPD,NO REPORT NEEDED
