Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-38808,9/27/16,11:07 PM,September,Tuesday,ALCOHOL RELATED,1463 W ALLEN ST,LB413,BPD,NO REPORT NEEDED
B16-38527,9/25/16,10:50 PM,September,Sunday,ALCOHOL RELATED,1463 W ALLEN ST,LB413,BPD,NO REPORT NEEDED
B16-38481,9/25/16,2:52 PM,September,Sunday,ALCOHOL RELATED,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-38447,9/25/16,5:26 AM,September,Sunday,ALCOHOL RELATED,S MADISON ST & W HOWE ST,LB103,BPD,NO REPORT NEEDED
B16-37690,9/20/16,12:13 PM,September,Tuesday,ALCOHOL RELATED,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-36096,9/9/16,8:26 PM,September,Friday,ALCOHOL RELATED,3901 N KINSER PIKE; BLOOMINGTON HIGH SCHOOL NORTH,LB508,BPD,NO REPORT NEEDED
B16-36064,9/9/16,5:04 PM,September,Friday,ALCOHOL RELATED,3901 N KINSER PIKE; BLOOMINGTON HIGH SCHOOL NORTH,LB508,BPD,REPORT NEEDED
B16-35793,9/8/16,1:22 AM,September,Thursday,ALCOHOL RELATED,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-34030,8/27/16,4:39 PM,August,Saturday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-31436,8/13/16,9:55 AM,August,Saturday,ALCOHOL RELATED,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-31344,8/12/16,7:55 PM,August,Friday,ALCOHOL RELATED,1444 N ARLINGTON PARK DR; APT 510,LB514,BPD,NO REPORT NEEDED
B16-31211,8/12/16,7:34 AM,August,Friday,ALCOHOL RELATED,114 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-30833,8/9/16,3:58 PM,August,Tuesday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,REPORT NEEDED
B16-28669,7/26/16,12:20 AM,July,Tuesday,ALCOHOL RELATED,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-28245,7/23/16,3:23 AM,July,Saturday,ALCOHOL RELATED,816 N MORTON ST; PARK ON MORTON,LB519,BPD,NO REPORT NEEDED
B16-26920,7/14/16,4:45 PM,July,Thursday,ALCOHOL RELATED,401 N MORTON ST; SHOWERS BROTHERS BUILDING,LB101,BPD,NO REPORT NEEDED
B16-26065,7/8/16,1:08 PM,July,Friday,ALCOHOL RELATED,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-39213,9/30/16,11:37 PM,September,Friday,DISTURBANCE IP,604 E 2ND ST,LB302,BPD,NO REPORT NEEDED
B16-39195,9/30/16,9:45 PM,September,Friday,DISTURBANCE IP,703 W GOURLEY PIKE,LB513,BPD,NO REPORT NEEDED
B16-39176,9/30/16,6:51 PM,September,Friday,DISTURBANCE IP,401 S WALNUT ST; CHOCOLATE MOOSE,LB104,BPD,REPORT NEEDED
B16-39090,9/30/16,3:12 AM,September,Friday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; ROOM 240,LB212,BPD,REPORT NEEDED
B16-39076,9/30/16,12:06 AM,September,Friday,DISTURBANCE IP,425 S RONSON ST; APT 39101,LB406,BPD,REPORT NEEDED
B16-39071,9/29/16,11:00 PM,September,Thursday,DISTURBANCE IP,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,NO REPORT NEEDED
B16-39055,9/29/16,8:47 PM,September,Thursday,DISTURBANCE IP,424 S WALNUT ST; PLAYERS PUB,LB103,BPD,NO REPORT NEEDED
B16-39054,9/29/16,8:42 PM,September,Thursday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; ROOM 240,LB212,BPD,NO REPORT NEEDED
B16-39045,9/29/16,7:43 PM,September,Thursday,DISTURBANCE IP,548 S BASSWOOD DR; APT N,LB404,BPD,NO REPORT NEEDED
B16-39035,9/29/16,6:06 PM,September,Thursday,DISTURBANCE IP,S WASHINGTON ST & E 2ND ST,LB104,BPD,NO REPORT NEEDED
B16-38933,9/28/16,10:09 PM,September,Wednesday,DISTURBANCE IP,2901 E 3RD ST; KFC EAST,LB221,BPD,NO REPORT NEEDED
B16-38793,9/27/16,8:42 PM,September,Tuesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-38718,9/27/16,8:21 AM,September,Tuesday,DISTURBANCE IP,817 N JACKSON ST,LB518,BPD,REPORT NEEDED
B16-38694,9/27/16,1:20 AM,September,Tuesday,DISTURBANCE IP,2339 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-38575,9/26/16,9:11 AM,September,Monday,DISTURBANCE IP,1423 E BRADSHIRE ST,LB330,BPD,REPORT NEEDED
B16-38437,9/25/16,2:45 AM,September,Sunday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT NEEDED
B16-38422,9/25/16,12:42 AM,September,Sunday,DISTURBANCE IP,214 W KIRKWOOD AVE; CRAZY HORSE FOOD AND DRINK EMPORIUM,LB101,BPD,NO REPORT NEEDED
B16-38416,9/24/16,11:53 PM,September,Saturday,DISTURBANCE IP,N WASHINGTON ST & E 12TH ST,LB213,BPD,NO REPORT NEEDED
B16-38412,9/24/16,11:28 PM,September,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; A17,LB336,BPD,NO REPORT NEEDED
B16-38392,9/24/16,8:41 PM,September,Saturday,DISTURBANCE IP,2314 S ROCKPORT RD,LB420,BPD,NO REPORT NEEDED
B16-38385,9/24/16,7:41 PM,September,Saturday,DISTURBANCE IP,2307 S ROCKPORT RD,LB423,BPD,REPORT NEEDED
B16-38380,9/24/16,7:01 PM,September,Saturday,DISTURBANCE IP,214 S WESTPLEX AVE,LB521,BPD,NO REPORT NEEDED
B16-38379,9/24/16,6:56 PM,September,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B168,LB336,BPD,NO REPORT NEEDED
B16-38373,9/24/16,5:53 PM,September,Saturday,DISTURBANCE IP,425 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-38369,9/24/16,5:31 PM,September,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,
B16-38340,9/24/16,2:13 PM,September,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-38318,9/24/16,10:18 AM,September,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-38308,9/24/16,8:04 AM,September,Saturday,DISTURBANCE IP,221 E 6TH ST; FIRST PRESBYTERIAN CHURCH,LB102,BPD,NO REPORT NEEDED
B16-38294,9/24/16,4:21 AM,September,Saturday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6; RM 214,LB212,BPD,REPORT NEEDED
B16-38263,9/23/16,11:03 PM,September,Friday,DISTURBANCE IP,400 E 17TH ST,LB213,BPD,NO REPORT NEEDED
B16-38241,9/23/16,8:32 PM,September,Friday,DISTURBANCE IP,2300 N WALNUT ST; MCDONALDS NORTH,LB209,BPD,NO REPORT NEEDED
B16-38225,9/23/16,5:29 PM,September,Friday,DISTURBANCE IP,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-38209,9/23/16,3:58 PM,September,Friday,DISTURBANCE IP,1008 W 11TH ST,LB518,BPD,NO REPORT NEEDED
B16-38185,9/23/16,1:43 PM,September,Friday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 2402,LB424,BPD,NO REPORT NEEDED
B16-38169,9/23/16,11:12 AM,September,Friday,DISTURBANCE IP,889 S COLLEGE MALL RD ; KERFIT LLC ANYTIME FITNESS,LB310,BPD,NO REPORT NEEDED
B16-38144,9/23/16,7:50 AM,September,Friday,DISTURBANCE IP,1751 N STONELAKE DR; ROOM 220; SUPER 8 MOTEL,LB510,BPD,NO REPORT NEEDED
B16-38132,9/23/16,2:57 AM,September,Friday,DISTURBANCE IP,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,REPORT NEEDED
B16-38125,9/23/16,12:47 AM,September,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; ARBOR GLEN,LB336,BPD,REPORT NEEDED
B16-38094,9/22/16,7:55 PM,September,Thursday,DISTURBANCE IP,1366 N ARLINGTON PARK DR; APT 311,LB514,BPD,NO REPORT NEEDED
B16-38088,9/22/16,7:19 PM,September,Thursday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-38087,9/22/16,7:14 PM,September,Thursday,DISTURBANCE IP,2303 S BROWN AVE,LB423,BPD,REPORT NEEDED
B16-38071,9/22/16,5:07 PM,September,Thursday,DISTURBANCE IP,2440 S HENDERSON ST; APT 309,LB327,BPD,NO REPORT NEEDED
B16-38020,9/22/16,11:57 AM,September,Thursday,DISTURBANCE IP,513 W GOURLEY PIKE,LB513,BPD,REPORT NEEDED
B16-37993,9/22/16,8:51 AM,September,Thursday,DISTURBANCE IP,B-LINE TRAIL & W 2ND ST,LB103,BPD,NO REPORT NEEDED
B16-37963,9/22/16,12:38 AM,September,Thursday,DISTURBANCE IP,714 S FAIRVIEW ST ; APT 1,LB409,BPD,NO REPORT NEEDED
B16-37824,9/21/16,3:12 AM,September,Wednesday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,REPORT NEEDED
B16-37800,9/20/16,10:24 PM,September,Tuesday,DISTURBANCE IP,417 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-37796,9/20/16,9:58 PM,September,Tuesday,DISTURBANCE IP,1039 S DUNCASTER CT,LB308,BPD,NO REPORT NEEDED
B16-37786,9/20/16,8:30 PM,September,Tuesday,DISTURBANCE IP,2385 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-37772,9/20/16,6:40 PM,September,Tuesday,DISTURBANCE IP,2002 W 3RD ST; MASTER RENTAL WEST,LB522,BPD,REPORT NEEDED
B16-37707,9/20/16,1:37 PM,September,Tuesday,DISTURBANCE IP,1350 W BLOOMFIELD RD  STE 1; BUFFALO WILD WINGS,LB406,BPD,NO REPORT NEEDED
B16-37696,9/20/16,12:51 PM,September,Tuesday,DISTURBANCE IP,409 E KIRKWOOD AVE; VILLAGE DELI,LB102,BPD,NO REPORT NEEDED
B16-37688,9/20/16,11:53 AM,September,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B164,LB336,BPD,NO REPORT NEEDED
B16-37643,9/19/16,11:46 PM,September,Monday,DISTURBANCE IP,1751 N STONELAKE DR; SUPER 8 MOTEL,LB510,BPD,NO REPORT NEEDED
B16-37611,9/19/16,7:13 PM,September,Monday,DISTURBANCE IP,703 W GOURLEY PIKE; APT 143,LB513,BPD,NO REPORT NEEDED
B16-37609,9/19/16,7:00 PM,September,Monday,DISTURBANCE IP,411 N LINCOLN ST,LB102,BPD,NO REPORT NEEDED
B16-37598,9/19/16,5:31 PM,September,Monday,DISTURBANCE IP,714 S FAIRVIEW ST; APT 5,LB409,BPD,NO REPORT NEEDED
B16-37556,9/19/16,1:44 PM,September,Monday,DISTURBANCE IP,1763 S PARK AVE,LB316,BPD,NO REPORT NEEDED
B16-37544,9/19/16,12:25 PM,September,Monday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,REPORT NEEDED
B16-37467,9/18/16,8:31 PM,September,Sunday,DISTURBANCE IP,514 W DAVIS ST; PERRYS TRAILER COURT; LOT 5,LB412,BPD,REPORT NEEDED
B16-37456,9/18/16,6:50 PM,September,Sunday,DISTURBANCE IP,1000 N COLLEGE AVE; CVS PHARMACY NORTH,LB519,BPD,REPORT NEEDED
B16-37438,9/18/16,3:39 PM,September,Sunday,DISTURBANCE IP,806 E MILLER DR,LB316,BPD,NO REPORT NEEDED
B16-37405,9/18/16,11:21 AM,September,Sunday,DISTURBANCE IP,1455 W BLOOMFIELD RD; PLASTIC SURGERY CENTER,LB414,BPD,NO REPORT NEEDED
B16-37401,9/18/16,10:03 AM,September,Sunday,DISTURBANCE IP,892 E MILLER DR,LB316,BPD,NO REPORT NEEDED
B16-37371,9/18/16,3:04 AM,September,Sunday,DISTURBANCE IP,534 S RONSON ST ; APT 4209,LB406,BPD,NO REPORT NEEDED
B16-37320,9/17/16,10:00 PM,September,Saturday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT NEEDED
B16-37302,9/17/16,7:48 PM,September,Saturday,DISTURBANCE IP,1313 W 12TH ST,LB517,BPD,REPORT NEEDED
B16-37298,9/17/16,6:30 PM,September,Saturday,DISTURBANCE IP,310 E 20TH ST; STADIUM VIEW II APARTMENTS; APT 10,LB212,BPD,NO REPORT NEEDED
B16-37291,9/17/16,6:05 PM,September,Saturday,DISTURBANCE IP,310 E 20TH ST,LB212,BPD,NO REPORT NEEDED
