Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Clearance Code desc
B17-00009,1/1/2017,0:52:45,January,Sunday,DRUNK,120 E 7TH ST; BUTCHS DELI,LB102,BPD,NO REPORT
B17-00010,1/1/2017,0:54:49,January,Sunday,DRUNK,S WALNUT ST & W COUNTRY CLUB DR,LB422,BPD,NO REPORT
B17-00016,1/1/2017,1:05:43,January,Sunday,NOISE,804 S LINCOLN ST,LB314,BPD,NO REPORT
B17-00028,1/1/2017,2:56:56,January,Sunday,NOISE,2500 S ROCKPORT RD; APT 2508,LB424,BPD,NO REPORT
B17-00029,1/1/2017,3:31:04,January,Sunday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,NO REPORT
B17-00033,1/1/2017,3:46:19,January,Sunday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1907,LB424,BPD,NO REPORT
B17-00034,1/1/2017,3:59:00,January,Sunday,ALCOHOL RELATED,310 S COLLEGE AVE; COURTYARD BLOOMINGTON; RM 509,LB103,BPD,REPORT NEEDED
B17-00039,1/1/2017,8:47:18,January,Sunday,DISTURBANCE IP,2440 S HENDERSON ST; CRAWFORD APARTMENTS; APT 202,LB327,BPD,NO REPORT
B17-00046,1/1/2017,10:06:02,January,Sunday,VANDALISM NP,419 S WALNUT ST,LB104,BPD,REPORT NEEDED
B17-00062,1/1/2017,14:29:04,January,Sunday,NOISE,676 E RIDGE CREST CT,LB316,BPD,NO REPORT
B17-00075,1/1/2017,16:13:15,January,Sunday,DISTURBANCE IP,2400 S WALNUT ST; TACO BELL SOUTH,LB422,BPD,NO REPORT
B17-00088,1/1/2017,18:57:30,January,Sunday,DISTURBANCE IP,823 N MAPLE ST; BLAIR HOUSE,LB518,BPD,REPORT NEEDED
B17-00098,1/1/2017,21:48:31,January,Sunday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B17-00104,1/1/2017,23:28:41,January,Sunday,DRUNK,130 N WALNUT ST,LB102,BPD,NO REPORT
B17-00106,1/2/2017,0:11:49,January,Monday,NOISE,1320 N ARLINGTON PARK DR; THE RESERVE AT CHANDLERS GLEN,LB514,BPD,NO REPORT
B17-00107,1/2/2017,0:11:28,January,Monday,DRUNK,217 W 6TH ST,LB101,BPD,NO REPORT
B17-00110,1/2/2017,1:43:41,January,Monday,NOISE,717 W 3RD ST,LB409,BPD,NO REPORT
B17-00116,1/2/2017,7:04:39,January,Monday,VANDALISM NP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,REPORT NEEDED
B17-00130,1/2/2017,11:26:45,January,Monday,DISTURBANCE IP,3015 E LONGVIEW AVE,LB221,BPD,REPORT NEEDED
B17-00133,1/2/2017,13:48:27,January,Monday,DISTURBANCE IP,1255 S COLLEGE MALL RD; BIG RED LIQUORS S COLLEGE MALL,LB310,BPD,NO REPORT
B17-00140,1/2/2017,14:37:05,January,Monday,DISTURBANCE IP,3200 E LONGVIEW AVE; APT 21,LB221,BPD,NO REPORT
B17-00158,1/2/2017,17:45:27,January,Monday,DISTURBANCE IP,408 E 6TH ST; BOXCAR BOOKS,LB102,BPD,NO REPORT
B17-00168,1/2/2017,18:41:26,January,Monday,NOISE,500 S PARKWAY DR,LB402,BPD,NO REPORT
B17-00169,1/2/2017,18:57:14,January,Monday,DISTURBANCE IP,2402 S WINSLOW CT,LB326,BPD,NO REPORT
B17-00180,1/2/2017,20:49:56,January,Monday,DISTURBANCE IP,1306 S WALNUT ST,LB411,BPD,NO REPORT
B17-00183,1/2/2017,21:14:58,January,Monday,DRUNK,310 S COLLEGE AVE; COURTYARD BLOOMINGTON,LB103,BPD,NO REPORT
B17-00184,1/2/2017,21:23:40,January,Monday,DISTURBANCE IP,780 S BASSWOOD DR,LB415,BPD,REPORT NEEDED
B17-00187,1/2/2017,22:03:11,January,Monday,NOISE,430 S WESTWOOD DR,LB402,BPD,NO REPORT
B17-00195,1/2/2017,23:57:51,January,Monday,NOISE,3052 E AMY LN,LB221,BPD,NO REPORT
B17-00199,1/3/2017,0:33:41,January,Tuesday,NOISE,1415 S FENBROOK LN,LB309,BPD,NO REPORT
B17-00206,1/3/2017,4:07:40,January,Tuesday,DISTURBANCE IP,2304 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B17-00222,1/3/2017,10:07:25,January,Tuesday,DISTURBANCE IP,1217 N MAPLE ST,LB518,BPD,NO REPORT
B17-00226,1/3/2017,11:00:34,January,Tuesday,DISTURBANCE IP,908 S WASHINGTON ST; ARIEL APARTMENTS; APT 6,LB314,BPD,NO REPORT
B17-00233,1/3/2017,12:25:17,January,Tuesday,VANDALISM IP,1300 S PATTERSON DR; COOK PHARMICA,LB412,BPD,REPORT NEEDED
B17-00251,1/3/2017,15:33:28,January,Tuesday,DISTURBANCE IP,114 E KIRKWOOD AVE; BUSKIRK CHUMLEY,LB104,BPD,NO REPORT
B17-00256,1/3/2017,16:07:03,January,Tuesday,VANDALISM NP,212 N MAPLE ST,LB520,BPD,REPORT NEEDED
B17-00261,1/3/2017,16:41:10,January,Tuesday,VANDALISM NP,212 N MAPLE ST,LB520,BPD,REPORT NEEDED
B17-00265,1/3/2017,17:10:17,January,Tuesday,DRUNK,N JACKSON ST & W 17TH ST,LB518,BPD,NO REPORT
B17-00266,1/3/2017,16:57:22,January,Tuesday,NOISE,341 S DAVISSON ST,LB409,BPD,NO REPORT
B17-00269,1/3/2017,17:22:45,January,Tuesday,DRUNK,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,REPORT NEEDED
B17-00273,1/3/2017,18:08:21,January,Tuesday,DRUNK,412 E 6TH ST; RUNCIBLE SPOON,LB102,BPD,NO REPORT
B17-00327,1/4/2017,1:38:17,January,Wednesday,VANDALISM NP,302 S COLLEGE AVE; BLGTN/MOROE COUNTY CONVENTION CENTER,LB103,BPD,REPORT NEEDED
B17-00334,1/4/2017,3:21:21,January,Wednesday,NOISE,618 S LINCOLN ST,LB301,BPD,NO REPORT
B17-00335,1/4/2017,3:20:58,January,Wednesday,NOISE,3200 E LONGVIEW AVE; APT 21,LB221,BPD,NO REPORT
B17-00336,1/4/2017,3:37:58,January,Wednesday,DISTURBANCE IP,3200 E LONGVIEW AVE; APT 21,LB221,BPD,NO REPORT
B17-00339,1/4/2017,5:41:56,January,Wednesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL; RM 7,LB409,BPD,NO REPORT
B17-00359,1/4/2017,11:11:17,January,Wednesday,VANDALISM NP,3205 W STATE ROAD 45; SAMS CLUB,LB416,BPD,NO REPORT
