Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B17-12020,4/1/2017,1:05:42,April,Saturday,DISTURBANCE IP,209 S COLLEGE AVE,LB103,BPD,No Report
B17-12026,4/1/2017,1:50:55,April,Saturday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,No Report
B17-12036,4/1/2017,4:08:28,April,Saturday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,No Report
B17-12040,4/1/2017,6:24:55,April,Saturday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,No Report
B17-12060,4/1/2017,13:00:49,April,Saturday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,No Report
B17-12114,4/1/2017,23:00:30,April,Saturday,DISTURBANCE IP,231 S ADAMS ST; CRESENT DONUT,LB407,BPD,No Report
B17-12112,4/1/2017,22:51:11,April,Saturday,DRUNK,S WALNUT ST & E KIRKWOOD AVE,,BPD,No Report
B17-12013,4/1/2017,0:22:41,April,Saturday,NOISE,N WOODLAWN AVE & E 8TH ST,LB215,BPD,No Report
B17-12014,4/1/2017,0:35:46,April,Saturday,NOISE,244 E VARSITY LN,LB212,BPD,No Report
B17-12019,4/1/2017,0:56:12,April,Saturday,NOISE,1215 N JORDAN AVE; PHI DELTA THETA,LIU09,BPD,No Report
B17-12029,4/1/2017,2:29:19,April,Saturday,NOISE,2036 N WALNUT ST; KNIGHTS LANDING,LB212,BPD,No Report
B17-12113,4/1/2017,22:55:45,April,Saturday,NOISE,505 S MULLER PKWY; APT 519,LB404,BPD,No Report
B17-12103,4/1/2017,21:47:50,April,Saturday,DISTURBANCE IP,1405 W 13TH ST,LB517,BPD,Report
B17-12043,4/1/2017,8:28:05,April,Saturday,DRUNK,108 W 6TH ST,LB101,BPD,Report
B17-12142,4/2/2017,2:23:10,April,Sunday,DISTURBANCE IP,1110 S PAPER BIRCH CT,LB401,BPD,No Report
B17-12148,4/2/2017,3:09:13,April,Sunday,DISTURBANCE IP,320 S WASHINGTON ST,LB104,BPD,No Report
B17-12207,4/2/2017,18:49:59,April,Sunday,DISTURBANCE IP,2317 S ROCKPORT RD,LB423,BPD,No Report
B17-12146,4/2/2017,2:57:02,April,Sunday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,No Report
B17-12121,4/2/2017,0:11:25,April,Sunday,NOISE,904 W 7TH ST,LB520,BPD,No Report
B17-12123,4/2/2017,0:23:24,April,Sunday,NOISE,1400 N KINSER PIKE,LB512,BPD,No Report
B17-12125,4/2/2017,0:32:31,April,Sunday,NOISE,500 S SWAIN AVE,LB303,BPD,No Report
