Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B18-02600,01-20-18,22:46,January,Saturday,ALCOHOL RELATED,1323 N WASHINGTON ST,LB212,BPD,NO REPORT
B18-03145,01-24-18,19:52,January,Wednesday,ALCOHOL RELATED,2522 E 10TH ST;SUSHI BAR,LB222,BPD,NO REPORT
B18-04089,01-31-18,14:11,January,Wednesday,ALCOHOL RELATED,3910 W 3RD ST; CVS PHARMACY WEST 3RD ST,LB524,BPD,NO REPORT
B18-06527,02-17-18,22:07,February,Saturday,ALCOHOL RELATED,N LINCOLN ST & E 7TH ST,LB102,BPD,NO REPORT
B18-06739,02-19-18,15:32,February,Monday,ALCOHOL RELATED,420 E KIRKWOOD AVE; CHIPOTLE MEXICAN GRILL KIRKWOOD,LB104,BPD,NO REPORT
B18-07867,02-26-18,18:20,February,Monday,ALCOHOL RELATED,240 N GATES DR; PETSMART,LB524,BPD,NO REPORT
B18-11636,03-24-18,05:04,March,Saturday,ALCOHOL RELATED,406 E 12TH ST,LB213,BPD,NO REPORT
B18-11639,03-24-18,06:34,March,Saturday,ALCOHOL RELATED,1307 W 3RD ST; VILLAGE PANTRY WEST,LB406,BPD,NO REPORT
B18-12036,03-27-18,10:27,March,Tuesday,ALCOHOL RELATED,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT
B18-00004,01-01-18,1.6875000000000001E-2,January,Monday,DISTURBANCE IP,2421 S BRITTANY LN,LB326,BPD,NO REPORT
B18-00006,01-01-18,2.6284722222222223E-2,January,Monday,DISTURBANCE IP,207 S COLLEGE AVE; THE BACK DOOR,LB103,BPD,NO REPORT
B18-00009,01-01-18,3.3819444444444451E-2,January,Monday,DISTURBANCE IP,207 S WALNUT ST; THE BACK DOOR,LB104,BPD,NO REPORT
B18-00074,01-01-18,19:11,January,Monday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B120,LB336,BPD,NO REPORT
B18-00110,01-02-18,5.9421296296296298E-2,January,Tuesday,DISTURBANCE IP,1314 N DUNN ST; CEDARWOOD APARTMENTS; APT D,LB214,BPD,NO REPORT
B18-00202,01-02-18,19:40,January,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE ; B120,LB336,BPD,NO REPORT
B18-00239,01-02-18,23:45,January,Tuesday,DISTURBANCE IP,214 W KIRKWOOD AVE; CRAZY HORSE FOOD AND DRINK EMPORIUM,LB101,BPD,NO REPORT
B18-00264,01-03-18,08:52,January,Wednesday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B18-00421,01-04-18,10:04,January,Thursday,DISTURBANCE IP,400 E 2ND ST; APT 1,LB301,BPD,NO REPORT
B18-00430,01-04-18,11:26,January,Thursday,DISTURBANCE IP,1207 S ROGERS ST; APT B,LB412,BPD,NO REPORT
B18-00479,01-04-18,17:08,January,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A63,LB336,BPD,NO REPORT
B18-00515,01-04-18,22:14,January,Thursday,DISTURBANCE IP,117 E 19TH ST; APT A,LB212,BPD,NO REPORT
B18-00574,01-05-18,12:28,January,Friday,DISTURBANCE IP,135 N GATES DR; STE 2;STATE FARM,LB524,BPD,NO REPORT
B18-00588,01-05-18,14:34,January,Friday,DISTURBANCE IP,321 S LANDMARK AVE; SUIT B,LB405,BPD,NO REPORT
B18-00663,01-06-18,02:52,January,Saturday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,NO REPORT
B18-00686,01-06-18,11:25,January,Saturday,DISTURBANCE IP,1215 W 12TH ST,LB517,BPD,NO REPORT
B18-00781,01-07-18,4.702546296296297E-2,January,Sunday,DISTURBANCE IP,1502 W 12TH ST,LB517,BPD,NO REPORT
B18-00786,01-07-18,7.6099537037037035E-2,January,Sunday,DISTURBANCE IP,1502 W 12TH ST,LB517,BPD,NO REPORT
