Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B18-40323,10-01-18,00:31,October,Monday,NOISE,1000 E ATWATER AVE; 1002 E ATWATER,LB302,BPD,NO REPORT
B18-40325,10-01-18,00:52,October,Monday,NOISE,2446 S HENDERSON ST;APT 325,LB327,BPD,NO REPORT
B18-40330,10-01-18,03:13,October,Monday,DISTURBANCE IP,2446 S HENDERSON ST,LB327,BPD,NO REPORT
B18-40337,10-01-18,06:44,October,Monday,VANDALISM NP,403 W COUNTRY CLUB DR,LB423,BPD,REPORT
B18-40340,10-01-18,07:47,October,Monday,DRUNK,1800 S WALNUT ST,LB421,BPD,NO REPORT
B18-40362,10-01-18,11:35,October,Monday,DISTURBANCE IP,211 S COLLEGE AVE; GERMAN AMERICAN BANK DOWNTOWN,LB103,BPD,NO REPORT
B18-40367,10-01-18,12:02,October,Monday,DRUNK,515 S WALNUT ST; STAHL FURNITURE,LB301,BPD,REPORT
B18-40394,10-01-18,14:43,October,Monday,NOISE,1150 S CLARIZZ BLVD; BUILDING G; APT 213,LB310,BPD,NO REPORT
B18-40400,10-01-18,16:14,October,Monday,DISTURBANCE IP,1201 W 10TH ST,LB521,BPD,NO REPORT
B18-40430,10-01-18,19:38,October,Monday,VANDALISM NP,502 S MULLER PKWY,LB404,BPD,REPORT
B18-40437,10-01-18,20:19,October,Monday,VANDALISM NP,1308 N LINCOLN ST,LB212,BPD,REPORT
B18-40445,10-01-18,21:34,October,Monday,DISTURBANCE IP,1466 N ARLINGTON PARK DR; APT 610,LB514,BPD,NO REPORT
B18-40456,10-01-18,22:44,October,Monday,DISTURBANCE IP,619 W HOWE ST; BUILDING TRADES PARK,LB409,BPD,NO REPORT
B18-40460,10-01-18,23:06,October,Monday,DISTURBANCE IP,S WALNUT ST & E WINSLOW RD,LB422,BPD,NO REPORT
B18-40469,10-01-18,23:49,October,Monday,DISTURBANCE IP,101 N COLLEGE AVE; THE TAP,LB101,BPD,NO REPORT
B18-40493,10-02-18,07:14,October,Tuesday,VANDALISM NP,1211 W 2ND ST; APT 23,LB406,BPD,REPORT
B18-40501,10-02-18,09:03,October,Tuesday,VANDALISM NP,N GRANT ST & E 7TH ST,LB102,BPD,REPORT
B18-40504,10-02-18,09:24,October,Tuesday,VANDALISM NP,206 S ADAMS ST; HINKLES HAMBURGERS,LB521,BPD,REPORT
B18-40534,10-02-18,13:08,October,Tuesday,VANDALISM NP,2602 N KINSER PIKE; SKATE PARK AT UPPER CASCADES,LB511,BPD,NO REPORT
B18-40558,10-02-18,16:14,October,Tuesday,DISTURBANCE IP,825 W 11TH ST,LB518,BPD,NO REPORT
B18-40582,10-02-18,18:55,October,Tuesday,VANDALISM NP,1150 S CLARIZZ BLVD; APT P,LB310,BPD,REPORT
B18-40578,10-02-18,19:20,October,Tuesday,NOISE,3315 E LONGVIEW AVE; APT 62,LB221,BPD,NO REPORT
B18-40596,10-02-18,21:35,October,Tuesday,DISTURBANCE IP,501 N COLLEGE AVE; SPRINGHILL SUITES,LB101,BPD,NO REPORT
B18-40606,10-02-18,22:37,October,Tuesday,NOISE,430 S DUNN ST,LB104,BPD,NO REPORT
B18-40612,10-02-18,23:37,October,Tuesday,DISTURBANCE IP,752 S WALNUT ST; APT 2,LB411,BPD,NO REPORT
B18-40614,10-02-18,23:38,October,Tuesday,NOISE,3100 S WALNUT STREET PIKE; APT B153,LB336,BPD,NO REPORT
B18-40621,10-02-18,23:58,October,Tuesday,NOISE,1150 S CLARIZZ BLVD; APT 238 BLDG J,LB310,BPD,NO REPORT
B18-40622,10-03-18,01:33,October,Wednesday,DISTURBANCE IP,1831 E 10TH ST; VILLAGE PANTRY CAMPUS,LIU09,BPD,NO REPORT
B18-40630,10-03-18,04:19,October,Wednesday,DISTURBANCE IP,3920 W MAYBURY MALL; APT  C7,LB428,BPD,NO REPORT
B18-40663,10-03-18,11:10,October,Wednesday,VANDALISM NP,3322 N KINGSLEY DR,LB507,BPD,NO REPORT
B18-40660,10-03-18,12:19,October,Wednesday,DISTURBANCE IP,568 S BASSWOOD DR; APT E,LB415,BPD,NO REPORT
B18-40670,10-03-18,13:25,October,Wednesday,DISTURBANCE IP,2475 S WINSLOW CT,LB326,BPD,NO REPORT
B18-40674,10-03-18,13:46,October,Wednesday,DISTURBANCE IP,568 S BASSWOOD DR; APT F,LB415,BPD,REPORT
B18-40677,10-03-18,14:07,October,Wednesday,DISTURBANCE IP,1600 N WILLIS DR; LOT 93,LB513,BPD,NO REPORT
B18-40690,10-03-18,15:25,October,Wednesday,DISTURBANCE IP,1579 S RENWICK BLVD,LB318,BPD,REPORT
B18-40695,10-03-18,15:55,October,Wednesday,DRUNK,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B18-40699,10-03-18,16:21,October,Wednesday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT
B18-40705,10-03-18,17:09,October,Wednesday,DRUNK,301 S WALNUT ST; DOWNTOWN TRANSIT CENTER,LB104,BPD,REPORT
B18-40709,10-03-18,17:24,October,Wednesday,NOISE,502 S MULLER PKWY,LB404,BPD,NO REPORT
B18-40750,10-04-18,00:13,October,Thursday,NOISE,809 E HUNTER AVE,LB302,BPD,NO REPORT
B18-40754,10-04-18,00:31,October,Thursday,NOISE,N PARK AVE & E 11TH ST,LB214,BPD,NO REPORT
B18-40760,10-04-18,00:51,October,Thursday,NOISE,310 W 12TH ST,LB519,BPD,NO REPORT
B18-40766,10-04-18,03:42,October,Thursday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES; U:,LB521,BPD,NO REPORT
B18-40767,10-04-18,04:28,October,Thursday,VANDALISM NP,1412 W ILLINOIS CT,LB517,BPD,REPORT
B18-40768,10-04-18,04:53,October,Thursday,DISTURBANCE IP,4023 W 3RD ST; cloverleaf,LB402,BPD,NO REPORT
B18-40816,10-04-18,14:19,October,Thursday,VANDALISM NP,1100 N WALNUT ST; APT 10,LB213,BPD,REPORT
B18-40818,10-04-18,14:37,October,Thursday,VANDALISM NP,N WALNUT ST & E 12TH ST; 703 N WALNUT ST; APT 5,LB519,BPD,NO REPORT
B18-40864,10-04-18,19:10,October,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; A BUILDING 2ND FLOOR,LB336,BPD,NO REPORT
B18-40880,10-04-18,21:24,October,Thursday,NOISE,1600 N WILLIS DR; LOT 112,LB513,BPD,NO REPORT
B18-40888,10-04-18,22:22,October,Thursday,NOISE,612 S STATE ROAD 446; APT 12A,LB307,BPD,NO REPORT
