Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B18-12819,04-01-18,00:15,April,Sunday,DISTURBANCE IP,W 11TH ST & N ROGERS ST,LB518,BPD,NO REPORT
B18-12820,04-01-18,00:16,April,Sunday,NOISE,1010 E 1ST ST,LB302,BPD,NO REPORT
B18-12825,04-01-18,00:26,April,Sunday,NOISE,112 E 12TH ST,LB213,BPD,NO REPORT
B18-12824,04-01-18,00:33,April,Sunday,DISTURBANCE IP,1751 N STONELAKE DR; SUPER 8 MOTEL,LB510,BPD,NO REPORT
B18-12837,04-01-18,02:28,April,Sunday,DRUNK,S WALNUT ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT
B18-12842,04-01-18,04:00,April,Sunday,NOISE,310 W 12TH ST; TOWNHOUSE 322,LB519,BPD,NO REPORT
B18-12849,04-01-18,09:17,April,Sunday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT
B18-12858,04-01-18,10:03,April,Sunday,VANDALISM NP,135 E RIDGEVIEW DR,LB328,BPD,REPORT
B18-12863,04-01-18,11:50,April,Sunday,DISTURBANCE IP,105 E WINSLOW RD; IU CREDIT UNION SOUTH,LB327,BPD,NO REPORT
B18-12867,04-01-18,12:18,April,Sunday,VANDALISM NP,3920 W MAYBURY MALL; APT C11,LB428,BPD,REPORT
B18-12865,04-01-18,12:23,April,Sunday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT
B18-12866,04-01-18,12:25,April,Sunday,NOISE,563 S JUNYA ST;APT 25104,LB406,BPD,NO REPORT
B18-12897,04-01-18,17:49,April,Sunday,VANDALISM IP,S MAPLE ST & W KIRKWOOD AVE,LB408,BPD,REPORT
B18-12900,04-01-18,17:58,April,Sunday,DISTURBANCE IP,350 N GATES DR; LOWES,LB524,BPD,NO REPORT
B18-12909,04-01-18,19:04,April,Sunday,DISTURBANCE IP,1450 N WILLIS DR,LB513,BPD,NO REPORT
B18-12923,04-01-18,21:07,April,Sunday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,REPORT
B18-12940,04-01-18,23:50,April,Sunday,NOISE,1405 W 6TH ST,LB521,BPD,NO REPORT
B18-12970,04-02-18,11:28,April,Monday,VANDALISM NP,3100 S WALNUT STREET PIKE; APT A38,LB336,BPD,NO REPORT
B18-12973,04-02-18,11:39,April,Monday,PANHANDLING,3000 W 3RD ST,LB524,BPD,NO REPORT
B18-12977,04-02-18,12:22,April,Monday,VANDALISM NP,1751 N STONELAKE DR; SUPER 8 MOTEL,LB510,BPD,NO REPORT
B18-13003,04-02-18,16:13,April,Monday,DISTURBANCE IP,3112 E BRAESIDE DR,LB221,BPD,NO REPORT
B18-13011,04-02-18,17:00,April,Monday,NOISE,1450 N WILLIS DR ; WILLIS MANOR APTS,LB513,BPD,NO REPORT
B18-13023,04-02-18,18:24,April,Monday,DISTURBANCE IP,411 W 3RD ST ; APT 2,LB103,BPD,NO REPORT
B18-13037,04-02-18,20:47,April,Monday,DISTURBANCE IP,2920 S LEONARD SPRINGS RD; SMOKE N LOTTO,LMS22,BPD,REPORT
B18-13050,04-02-18,23:13,April,Monday,DISTURBANCE IP,2304 S WINSLOW CT; HENDERSON COURT Bldg 2,LB326,BPD,NO REPORT
B18-13053,04-02-18,23:17,April,Monday,NOISE,1480 N KINSER PIKE; APT B2,LB512,BPD,NO REPORT
B18-13086,04-03-18,10:24,April,Tuesday,VANDALISM NP,3151 W 3RD ST; MONROE COUNTY PIZZA,LB403,BPD,NO REPORT
B18-13088,04-03-18,11:24,April,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; A BUILDING,LB336,BPD,NO REPORT
B18-13097,04-03-18,12:58,April,Tuesday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT
B18-13122,04-03-18,14:17,April,Tuesday,VANDALISM NP,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,REPORT
B18-13138,04-03-18,16:55,April,Tuesday,VANDALISM NP,2451 S WALNUT STREET PIKE; CAROUSEL DAYCARE,LB327,BPD,REPORT
B18-13151,04-03-18,18:30,April,Tuesday,VANDALISM IP,4422 E ELOUISE AVE,LB219,BPD,NO REPORT
B18-13157,04-03-18,19:50,April,Tuesday,DISTURBANCE IP,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,NO REPORT
B18-13171,04-03-18,21:31,April,Tuesday,DISTURBANCE IP,1333 S FENBROOK LN,LB309,BPD,NO REPORT
B18-13185,04-03-18,23:41,April,Tuesday,NOISE,502 S MULLER PKWY; APT 233,LB404,BPD,NO REPORT
B18-13188,04-03-18,23:55,April,Tuesday,NOISE,512 S MULLER PKWY; ABOVE APT 1215,LB404,BPD,NO REPORT
B18-13187,04-03-18,23:57,April,Tuesday,NOISE,405 S WALNUT ST; URBAN STATION APARTMENTS WALNUT;APT A401,LB104,BPD,NO REPORT
B18-13191,04-04-18,00:33,April,Wednesday,NOISE,455 N COLLEGE AVE; APT 8007,LB101,BPD,NO REPORT
B18-13193,04-04-18,01:16,April,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B120,LB336,BPD,NO REPORT
B18-13307,04-04-18,21:38,April,Wednesday,NOISE,3261 S WALNUT SPRINGS DR,LB336,BPD,NO REPORT
B18-13320,04-04-18,23:25,April,Wednesday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT
B18-13323,04-04-18,23:38,April,Wednesday,DISTURBANCE IP,601 N WALNUT ST; APT 202,LB519,BPD,NO REPORT
B18-13325,04-04-18,23:49,April,Wednesday,NOISE,519 E 2ND ST,LB104,BPD,NO REPORT
B18-13340,04-05-18,01:56,April,Thursday,NOISE,590 S PARK RIDGE RD; APT 73204,LB307,BPD,NO REPORT
B18-13391,04-05-18,11:27,April,Thursday,DISTURBANCE IP,2426 S SHADOW GROVE CT,LB324,BPD,NO REPORT
B18-13402,04-05-18,12:30,April,Thursday,DRUNK,912 S WALNUT ST; BUDGET AVIS,LB411,BPD,NO REPORT
B18-13424,04-05-18,15:12,April,Thursday,DISTURBANCE IP,311 E MELROSE AVE,LB315,BPD,NO REPORT
B18-13450,04-05-18,17:30,April,Thursday,VANDALISM IP,2028 S OAKDALE DR,LB417,BPD,NO REPORT
B18-13452,04-05-18,17:50,April,Thursday,DISTURBANCE IP,3600 N PROW RD; BLOOMINGTON MEADOWS HOSPITAL,LB503,BPD,NO REPORT
B18-13470,04-05-18,20:37,April,Thursday,DRUNK,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,REPORT
B18-13492,04-05-18,22:34,April,Thursday,NOISE,345 S COLLEGE AVE; APT 101,LB103,BPD,NO REPORT
B18-13493,04-05-18,22:48,April,Thursday,NOISE,502 S MULLER PKWY; APT 203,LB404,BPD,NO REPORT
B18-13494,04-05-18,23:07,April,Thursday,NOISE,524 N COLLEGE AVE;4TH FLOOR,LB101,BPD,NO REPORT
B18-13497,04-05-18,23:18,April,Thursday,NOISE,345 S COLLEGE AVE; APT 101,LB103,BPD,NO REPORT
B18-13499,04-05-18,23:33,April,Thursday,NOISE,502 S MULLER PKWY; APT 233,LB404,BPD,NO REPORT
B18-13501,04-05-18,23:38,April,Thursday,NOISE,114 E 14TH ST; APT 118,LB213,BPD,NO REPORT
B18-13503,04-06-18,00:06,April,Friday,NOISE,619 S LINCOLN ST,LB301,BPD,NO REPORT
B18-13528,04-06-18,09:41,April,Friday,NOISE,2644 E COVENANTER CT,LB310,BPD,NO REPORT
B18-13574,04-06-18,13:56,April,Friday,VANDALISM NP,2446 S HENDERSON ST; APT 423,LB327,BPD,REPORT
B18-13572,04-06-18,15:20,April,Friday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,REPORT
B18-13585,04-06-18,16:45,April,Friday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,REPORT
B18-13602,04-06-18,17:41,April,Friday,VANDALISM NP,1301 N MAPLE ST,LB518,BPD,REPORT
B18-13619,04-06-18,20:51,April,Friday,NOISE,3100 S WALNUT STREET PIKE; APT 64A,LB336,BPD,NO REPORT
B18-13624,04-06-18,22:24,April,Friday,NOISE,652 E RIDGE CREST CT,LB316,BPD,NO REPORT
B18-13628,04-06-18,22:58,April,Friday,NOISE,817 N WASHINGTON ST,LB213,BPD,NO REPORT
B18-13633,04-06-18,23:45,April,Friday,DISTURBANCE IP,924 N LINDBERGH DR,LB517,BPD,NO REPORT
B18-13638,04-07-18,00:00,April,Saturday,NOISE,E SMITH AVE & S GRANT ST,LB104,BPD,NO REPORT
B18-13641,04-07-18,00:24,April,Saturday,NOISE,304 W 14TH ST,LB519,BPD,NO REPORT
B18-13642,04-07-18,00:27,April,Saturday,NOISE,315 E VARSITY LN,LB212,BPD,NO REPORT
B18-13643,04-07-18,00:48,April,Saturday,NOISE,502 S WASHINGTON ST,LB301,BPD,NO REPORT
B18-13650,04-07-18,02:03,April,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE; UPSTAIRS PUB,LB104,BPD,REPORT
B18-13657,04-07-18,02:44,April,Saturday,DISTURBANCE IP,1600 N WILLIS DR; LOT 225,LB513,BPD,NO REPORT
B18-13666,04-07-18,04:58,April,Saturday,NOISE,3261 S WALNUT SPRINGS DR,LB336,BPD,NO REPORT
B18-13706,04-07-18,11:48,April,Saturday,DISTURBANCE IP,4200 N DEER PARK DR,LE05,BPD,NO REPORT
B18-13689,04-07-18,12:12,April,Saturday,DISTURBANCE IP,110 N WALNUT ST,LB102,BPD,REPORT
B18-13698,04-07-18,13:22,April,Saturday,DISTURBANCE IP,N SUMMIT ST & W COTTAGE GROVE AVE,LB517,BPD,NO REPORT
B18-13707,04-07-18,14:15,April,Saturday,VANDALISM IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT
B18-13715,04-07-18,15:02,April,Saturday,ALCOHOL RELATED,301 S WALNUT ST,LB104,BPD,NO REPORT
B18-13728,04-07-18,16:33,April,Saturday,VANDALISM IP,3231 N KINGSLEY DR,LB507,BPD,REPORT
B18-13743,04-07-18,19:55,April,Saturday,DISTURBANCE IP,2307 E 2ND ST,LB304,BPD,NO REPORT
B18-13751,04-07-18,20:00,April,Saturday,NOISE,3200 E LONGVIEW AVE; APT 60,LB221,BPD,NO REPORT
B18-13759,04-07-18,21:23,April,Saturday,NOISE,308 S HICKORY DR,LB402,BPD,NO REPORT
B18-13754,04-07-18,21:24,April,Saturday,DISTURBANCE IP,S WALNUT ST & W 3RD ST,LB103,BPD,NO REPORT
B18-13755,04-07-18,21:30,April,Saturday,DISTURBANCE IP,121 W PINEWOOD DR,LB433,BPD,REPORT
B18-13763,04-07-18,22:16,April,Saturday,DISTURBANCE IP,1202 S WALNUT ST; FAMILY VIDEO,LB411,BPD,REPORT
B18-13771,04-07-18,22:25,April,Saturday,NOISE,2307 E 2ND ST; APT 16,LB304,BPD,NO REPORT
B18-13775,04-07-18,22:34,April,Saturday,NOISE,1496 N KINSER PIKE; AXIS APTS,LB512,BPD,NO REPORT
B18-13785,04-07-18,23:15,April,Saturday,NOISE,606 E UNIVERSITY ST,LB302,BPD,NO REPORT
B18-13787,04-07-18,23:18,April,Saturday,NOISE,1200 E ATWATER AVE,LB302,BPD,NO REPORT
B18-13793,04-07-18,23:47,April,Saturday,NOISE,N LINCOLN ST & E 14TH ST,LB213,BPD,NO REPORT
B18-13795,04-08-18,00:08,April,Sunday,NOISE,318 S WILMINGTON CT,LB305,BPD,NO REPORT
B18-13807,04-08-18,00:45,April,Sunday,NOISE,3151 N KINGSLEY DR,LB507,BPD,REPORT
B18-13819,04-08-18,01:55,April,Sunday,NOISE,1276 S FENBROOK LN ; THE FIELDS,LB309,BPD,NO REPORT
B18-13817,04-08-18,02:23,April,Sunday,DISTURBANCE IP,424 S WALNUT ST; PLAYERS PUB,LB103,BPD,NO REPORT
B18-13822,04-08-18,02:45,April,Sunday,NOISE,525 S PATTERSON DR ; THE DILLON,LB406,BPD,NO REPORT
B18-13928,04-09-18,01:27,April,Monday,NOISE,633 W MARBLE LN,LB513,BPD,NO REPORT
B18-13935,04-09-18,03:18,April,Monday,NOISE,3210 E JOHN HINKLE PL; APT H,LB221,BPD,NO REPORT
B18-13961,04-09-18,11:59,April,Monday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT
