Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Report/No Report
B18-26225,07-01-18,01:29,July,Sunday,NOISE,525 S PATTERSON DR,LB406,BPD,NO REPORT
B18-26227,07-01-18,02:13,July,Sunday,NOISE,318 S WILMINGTON CT,LB305,BPD,NO REPORT
B18-26255,07-01-18,11:20,July,Sunday,PANHANDLING,2424 S WALNUT ST; LUCKYS MARKET,LB422,BPD,NO REPORT
B18-26253,07-01-18,11:21,July,Sunday,PANHANDLING,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT
B18-26257,07-01-18,12:53,July,Sunday,DISTURBANCE IP,120 S KINGSTON DR; APT D39,LB221,BPD,NO REPORT
B18-26284,07-01-18,15:46,July,Sunday,NOISE,3100 S WALNUT STREET PIKE; B132,LB336,BPD,NO REPORT
B18-26283,07-01-18,16:18,July,Sunday,DRUNK,2304 S ROGERS ST; NICHOLSONS MOBILE HOME VILLA,LB423,BPD,REPORT
B18-26306,07-01-18,19:04,July,Sunday,DISTURBANCE IP,2850 E 3RD ST; DICKS SPORTING GOODS,LB305,BPD,NO REPORT
B18-26329,07-01-18,22:04,July,Sunday,NOISE,650 E SHERWOOD HILLS DR,LB329,BPD,NO REPORT
B18-26347,07-02-18,01:05,July,Monday,VANDALISM NP,1440 N WOODBURN AVE; APT 10,LB512,BPD,REPORT
B18-26352,07-02-18,01:44,July,Monday,DISTURBANCE IP,1221 W GREEN TREE LN,LB413,BPD,NO REPORT
B18-26361,07-02-18,03:42,July,Monday,NOISE,1150 S CLARIZZ BLVD,LB310,BPD,NO REPORT
B18-26378,07-02-18,09:26,July,Monday,DISTURBANCE IP,300 S COLLEGE MALL RD; STEAK N SHAKE EAST,LB305,BPD,NO REPORT
B18-26383,07-02-18,10:04,July,Monday,DISTURBANCE IP,535 S WALNUT ST; ARBYS SOUTH,LB301,BPD,NO REPORT
B18-26384,07-02-18,10:07,July,Monday,VANDALISM NP,1704 S OLIVE ST,LB316,BPD,NO REPORT
B18-26399,07-02-18,12:07,July,Monday,DISTURBANCE IP,1600 N WILLIS DR; LOT 128,LB513,BPD,NO REPORT
B18-26404,07-02-18,12:25,July,Monday,DISTURBANCE IP,411 E SOUTHERN DR; APT 9,LB315,BPD,REPORT
